,t (s),U (W/m2),T(e/4),T(e/2),T(3e/4)
126,3780.0,0.0,27.570067552564627,24.992728483037663,22.424932447315076
127,3810.0,0.0,27.49623508344052,24.99323004997441,22.498764916476937
128,3840.0,0.0,27.424521580514995,24.9936788937664,22.57047841942835
129,3870.0,0.0,27.354866234209855,24.99408055650459,22.64013376575124
130,3900.0,0.0,27.287209979212744,24.99443999771302,22.707790020760527
131,3930.0,0.0,27.22149544461723,24.994761655586355,22.773504555364386
132,3960.0,0.0,27.157666905452295,24.99504950179029,22.837333094535047
133,3990.0,0.0,27.09567023556996,24.99530709050155,22.899329764421303
134,4020.0,0.0,27.035452861858946,24.99553760229301,22.959547138134997
135,4050.0,0.0,26.976963719751684,24.995743883405712,23.018036280244104
136,4080.0,0.0,26.92015320999185,24.995928480892793,23.074846790005207
137,4110.0,0.0,26.86497315662969,24.99609367406914,23.13002684336823
138,4140.0,0.0,26.8113767662126,24.996241502655202,23.183623233785912
139,4170.0,0.0,26.759318588138697,24.996373791962405,23.235681411860224
140,4200.0,0.0,26.70875447614182,24.99649217543116,23.286245523857374
141,4230.0,0.0,26.65964155087677,24.996598114799728,23.335358449122612
142,4260.0,0.0,26.611938163574283,24.996692918153013,23.383061836425235
143,4290.0,0.0,26.56560386073585,24.996777756074135,23.42939613926376
144,4320.0,0.0,26.520599349839294,24.99685367609816,23.474400650160373
145,4350.0,0.0,26.47688646602654,24.996921615646556,23.51811353397317
146,4380.0,0.0,26.43442813974581,24.996982413601984,23.56057186025393
147,4410.0,0.0,26.393188365321272,24.99703682066637,23.601811634678477
148,4440.0,0.0,26.35313217042371,24.997085508630203,23.641867829576054
149,4470.0,0.0,26.314225586416537,24.99712907866746,23.68077441358323
150,4500.0,0.0,26.27643561955233,24.997168068758583,23.71856438044744
151,4530.0,0.0,26.239730222995444,24.997202960333194,23.755269777004337
152,4560.0,0.0,26.204078269647194,24.997234184214538,23.79092173035259
153,4590.0,0.0,26.169449525750686,24.99726212593907,23.825550474249095
154,4620.0,0.0,26.135814625252888,24.997287130516856,23.859185374746897
155,4650.0,0.0,26.10314504490232,24.997309506691572,23.891854955097465
156,4680.0,0.0,26.07141308006128,24.99732953075274,23.923586919938508
157,4710.0,0.0,26.04059182121216,24.997347449947192,23.954408178787624
158,4740.0,0.0,26.0106551311379,24.997363485531924,23.984344868861886
159,4770.0,0.0,25.981577622757285,24.99737783550611,24.013422377242502
160,4800.0,0.0,25.953334637596335,24.99739067705587,24.041665362403446
161,4830.0,0.0,25.92590222487749,24.99740216874205,24.06909777512229
162,4860.0,0.0,25.899257121208898,24.997412452458097,24.09574287879089
163,4890.0,0.0,25.873376730856585,24.99742165518206,24.1216232691432
164,4920.0,0.0,25.848239106582824,24.99742989054444,24.146760893416964
165,4950.0,0.0,25.823822931034364,24.997437260231266,24.171177068965424
166,4980.0,0.0,25.80010749866485,24.99744385523965,24.194892501334937
167,5010.0,0.0,25.777072698176042,24.99744975700136,24.217927301823746
168,5040.0,0.0,25.754698995462938,24.99745503838833,24.240301004536846
169,5070.0,0.0,25.732967417048396,24.997459764612408,24.262032582951388
170,5100.0,0.0,25.71185953399316,24.997463994030582,24.28314046600662
171,5130.0,0.0,25.691357446267663,24.997467778865545,24.303642553732118
172,5160.0,0.0,25.67144376757236,24.997471165850477,24.323556232427425
173,5190.0,0.0,25.652101610593686,24.99747419680614,24.342898389406095
174,5220.0,0.0,25.63331457268324,24.99747690915722,24.36168542731654
175,5250.0,0.0,25.615066721947873,24.99747933639443,24.379933278051908
176,5280.0,0.0,25.597342583739064,24.997481508488054,24.397657416260714
177,5310.0,0.0,25.580127127530023,24.99748345225798,24.414872872469754
178,5340.0,0.0,25.563405754169406,24.99748519170489,24.431594245830365
179,5370.0,0.0,25.547164283500877,24.997486748306578,24.447835716498886
180,5400.0,0.0,25.531388942337966,24.997488141283167,24.4636110576618
181,5430.0,0.0,25.51606635278404,24.997489387834406,24.478933647215726
182,5460.0,0.0,25.501183520887526,24.997490503352072,24.49381647911224
183,5490.0,0.0,25.486727825622694,24.997491501610007,24.508272174377073
184,5520.0,0.0,25.472687008186703,24.997492394934195,24.52231299181306
185,5550.0,0.0,25.459049161603815,24.997493194354927,24.535950838395944
186,5580.0,0.0,25.445802720627988,24.997493909743064,24.54919727937177
187,5610.0,0.0,25.432936451935234,24.997494549931826,24.56206354806453
188,5640.0,0.0,25.420439444597466,24.99749512282595,24.574560555402297
189,5670.0,0.0,25.408301100829785,24.997495635499234,24.586698899169978
190,5700.0,0.0,25.396511127003237,24.997496094281907,24.59848887299653
191,5730.0,0.0,25.38505952491558,24.99749650483877,24.609940475084187
192,5760.0,0.0,25.37393658331255,24.997496872239186,24.62106341668722
193,5790.0,0.0,25.363132869652446,24.997497201019616,24.63186713034732
194,5820.0,0.0,25.352639222107122,24.997497495239678,24.642360777892645
